vendor,vendor_display,vendor_region,chip_series,chip_model,chip_type,usage,tier,architecture,arch_codename,generation,process_node_nm,foundry,die_size_mm2,transistors_b,package_type,vram_gb,vram_type,vram_bus_bit,vram_bw_gb_s,vram_clock_mhz,compute_units,tensor_cores,rt_cores,sm_count,shading_units,l1_cache_kb,l2_cache_mb,precision_support,precision_perf,base_clock_mhz,boost_clock_mhz,tdp_w,psu_w,power_connector,board_length_mm,board_width_mm,slot_width,bus_interface,release_date,production_status,is_released,target_market,description,_source_urls,_source_type,_source_confidence,_db_id,_is_new
NVIDIA,NVIDIA,foreign,GP104,Quadro P5200 Max-Q,GPU,both,datacenter,Pascal,GP104,Quadro Pascal-M(Px200),16,TSMC,314,7.2,BGA-2150,16,GDDR5,256,230.9,1804,2560,0,0,20,2560,48,2,FP64/FP32/FP16/BF16/INT8,FP64:0.3TFLOPS;FP32:8.0TFLOPS;FP16/BF16:0.1TFLOPS,1316,1569,100,,None,,,MXM Module,MXM-B (3.0),2018-02-21,已量产,1,AI训练/推理 / HPC,"NVIDIA Quadro P5200 Max-Q — Pascal architecture, Quadro Pascal-M(Px200) generation, 16.0GB GDDR5",https://www.techpowerup.com/gpu-specs/quadro-p5200-max-q.c3347,community,high,,1
NVIDIA,NVIDIA,foreign,GP104,Quadro P5200 Mobile,GPU,both,datacenter,Pascal,GP104,Quadro Pascal-M(Px200),16,TSMC,314,7.2,BGA-2150,16,GDDR5,256,230.9,1804,2560,0,0,20,2560,48,2,FP64/FP32/FP16/BF16/INT8,FP64:0.3TFLOPS;FP32:9.0TFLOPS;FP16/BF16:0.1TFLOPS,1582,1759,100,,None,,,MXM Module,MXM-B (3.0),2018-02-21,已量产,1,AI训练/推理 / HPC,"NVIDIA Quadro P5200 Mobile — Pascal architecture, Quadro Pascal-M(Px200) generation, 16.0GB GDDR5",https://www.techpowerup.com/gpu-specs/quadro-p5200-mobile.c3020,community,high,,1
NVIDIA,NVIDIA,foreign,GP107,Quadro P620 Mobile,GPU,both,workstation,Pascal,GP107,Quadro Pascal-M(Px200),14,Samsung,132,3.3,FCBGA-908,4,GDDR5,128,96.13,1502,512,0,0,4,512,48,1,FP64/FP32/FP16/BF16/INT8,FP64:0.0TFLOPS;FP32:1.5TFLOPS;FP16/BF16:0.0TFLOPS,1177,1443,40,,None,,,IGP,PCIe 3.0 x16,2018-02-01,已量产,1,AI训练/推理 / HPC,"NVIDIA Quadro P620 Mobile — Pascal architecture, Quadro Pascal-M(Px200) generation, 4.0GB GDDR5",https://www.techpowerup.com/gpu-specs/quadro-p620-mobile.c3456,community,high,,1
NVIDIA,NVIDIA,foreign,TU104,Quadro RTX 4000,GPU,both,workstation,Turing,TU104,Quadro Turing(Tx000),12,TSMC,545,13.6,BGA-2228,8,GDDR6,256,416,1625,2304,288,36,36,2304,64,4,FP64/FP32/FP16/BF16/INT8,FP64:0.2TFLOPS;FP32:7.1TFLOPS;FP16/BF16:14.2TFLOPS,1005,1545,160,450,1x 8-pin,241,,Single-slot,PCIe 3.0 x16,2018-11-13,已量产,1,AI训练/推理 / HPC,"NVIDIA Quadro RTX 4000 — Turing architecture, Quadro Turing(Tx000) generation, 8.0GB GDDR6",https://www.techpowerup.com/gpu-specs/quadro-rtx-4000.c3336,community,high,,1
NVIDIA,NVIDIA,foreign,TU104,Quadro RTX 5000,GPU,both,datacenter,Turing,TU104,Quadro Turing(Tx000),12,TSMC,545,13.6,BGA-2228,16,GDDR6,256,448,1750,3072,384,48,48,3072,64,4,FP64/FP32/FP16/BF16/INT8,FP64:0.3TFLOPS;FP32:11.2TFLOPS;FP16/BF16:22.3TFLOPS,1620,1815,230,550,1x 6-pin + 1x 8-pin,267,,Dual-slot,PCIe 3.0 x16,2018-08-13,已量产,1,AI训练/推理 / HPC,"NVIDIA Quadro RTX 5000 — Turing architecture, Quadro Turing(Tx000) generation, 16.0GB GDDR6",https://www.techpowerup.com/gpu-specs/quadro-rtx-5000.c3308,community,high,,1
NVIDIA,NVIDIA,foreign,TU102,Quadro RTX 6000,GPU,both,datacenter,Turing,TU102,Quadro Turing(Tx000),12,TSMC,754,18.6,,24,GDDR6,384,672,1750,4608,576,72,72,4608,64,6,FP64/FP32/FP16/BF16/INT8,FP64:0.5TFLOPS;FP32:16.3TFLOPS;FP16/BF16:32.6TFLOPS,1440,1770,260,600,1x 6-pin + 1x 8-pin,267,,Dual-slot,PCIe 3.0 x16,2018-08-13,已量产,1,AI训练/推理 / HPC,"NVIDIA Quadro RTX 6000 — Turing architecture, Quadro Turing(Tx000) generation, 24.0GB GDDR6",https://www.techpowerup.com/gpu-specs/quadro-rtx-6000.c3307,community,high,,1
NVIDIA,NVIDIA,foreign,TU102,Quadro RTX 6000 Passive,GPU,both,datacenter,Turing,TU102,Quadro Turing(Tx000),12,TSMC,754,18.6,,24,GDDR6,384,624,1625,4608,576,72,72,4608,64,6,FP64/FP32/FP16/BF16/INT8,FP64:0.5TFLOPS;FP32:14.9TFLOPS;FP16/BF16:29.9TFLOPS,1275,1620,260,600,1x 6-pin + 1x 8-pin,267,,Dual-slot,PCIe 3.0 x16,2018-08-13,已量产,1,AI训练/推理 / HPC,"NVIDIA Quadro RTX 6000 Passive — Turing architecture, Quadro Turing(Tx000) generation, 24.0GB GDDR6",https://www.techpowerup.com/gpu-specs/quadro-rtx-6000-passive.c3469,community,high,,1
NVIDIA,NVIDIA,foreign,TU102,Quadro RTX 8000,GPU,both,datacenter,Turing,TU102,Quadro Turing(Tx000),12,TSMC,754,18.6,,48,GDDR6,384,672,1750,4608,576,72,72,4608,64,6,FP64/FP32/FP16/BF16/INT8,FP64:0.5TFLOPS;FP32:16.3TFLOPS;FP16/BF16:32.6TFLOPS,1395,1770,260,600,1x 6-pin + 1x 8-pin,267,,Dual-slot,PCIe 3.0 x16,2018-08-13,已量产,1,AI训练/推理 / HPC,"NVIDIA Quadro RTX 8000 — Turing architecture, Quadro Turing(Tx000) generation, 48.0GB GDDR6",https://www.techpowerup.com/gpu-specs/quadro-rtx-8000.c3306,community,high,,1
NVIDIA,NVIDIA,foreign,TU102,Quadro RTX 8000 Passive,GPU,both,datacenter,Turing,TU102,Quadro Turing(Tx000),12,TSMC,754,18.6,,48,GDDR6,384,624,1625,4608,576,72,72,4608,64,6,FP64/FP32/FP16/BF16/INT8,FP64:0.5TFLOPS;FP32:14.9TFLOPS;FP16/BF16:29.9TFLOPS,1230,1620,260,600,1x 6-pin + 1x 8-pin,267,,Dual-slot,PCIe 3.0 x16,2018-08-13,已量产,1,AI训练/推理 / HPC,"NVIDIA Quadro RTX 8000 Passive — Turing architecture, Quadro Turing(Tx000) generation, 48.0GB GDDR6",https://www.techpowerup.com/gpu-specs/quadro-rtx-8000-passive.c3470,community,high,,1
NVIDIA,NVIDIA,foreign,TU104,Tesla T4,GPU,both,datacenter,Turing,TU104,Tesla Turing(Txx),12,TSMC,545,13.6,BGA-2228,16,GDDR6,256,320,1250,2560,320,40,40,2560,64,4,FP64/FP32/FP16/BF16/INT8,FP64:0.3TFLOPS;FP32:8.1TFLOPS;FP16/BF16:65.1TFLOPS,585,1590,70,250,None,168,,Single-slot,PCIe 3.0 x16,2018-09-13,已量产,1,AI训练/推理 / HPC,"NVIDIA Tesla T4 — Turing architecture, Tesla Turing(Txx) generation, 16.0GB GDDR6",https://www.techpowerup.com/gpu-specs/tesla-t4.c3316,community,high,,1
