vendor,vendor_display,vendor_region,chip_series,chip_model,chip_type,usage,tier,architecture,arch_codename,generation,process_node_nm,foundry,die_size_mm2,transistors_b,package_type,vram_gb,vram_type,vram_bus_bit,vram_bw_gb_s,vram_clock_mhz,compute_units,tensor_cores,rt_cores,sm_count,shading_units,l1_cache_kb,l2_cache_mb,precision_support,precision_perf,base_clock_mhz,boost_clock_mhz,tdp_w,psu_w,power_connector,board_length_mm,board_width_mm,slot_width,bus_interface,release_date,production_status,is_released,target_market,description,_source_urls,_source_type,_source_confidence,_db_id,_is_new
NVIDIA,NVIDIA,foreign,TU104,Tesla T4G,GPU,both,datacenter,Turing,TU104,Tesla Turing(Txx),12,TSMC,545,13.6,BGA-2228,16,GDDR6,256,320,1250,2560,320,40,40,2560,64,4,FP64/FP32/FP16/BF16/INT8,FP64:0.3TFLOPS;FP32:8.1TFLOPS;FP16/BF16:65.1TFLOPS,585,1590,70,250,None,168,,Single-slot,PCIe 3.0 x16,2018-09-13,已量产,1,AI训练/推理 / HPC,"NVIDIA Tesla T4G — Turing architecture, Tesla Turing(Txx) generation, 16.0GB GDDR6",https://www.techpowerup.com/gpu-specs/tesla-t4g.c4134,community,high,,1
NVIDIA,NVIDIA,foreign,GV100,Tesla V100 DGXS 16 GB,GPU,both,datacenter,Volta,GV100,Tesla Volta(Vxx),12,TSMC,815,21.1,,16,HBM2,4096,897,876,5120,640,0,80,5120,128,6,FP64/FP32/FP16/BF16/INT8,FP64:8.1TFLOPS;FP32:16.2TFLOPS;FP16/BF16:32.4TFLOPS,1354,1582,250,600,None,,,Dual-slot,PCIe 3.0 x16,2018-03-27,已量产,1,AI训练/推理 / HPC,"NVIDIA Tesla V100 DGXS 16 GB — Volta architecture, Tesla Volta(Vxx) generation, 16.0GB HBM2",https://www.techpowerup.com/gpu-specs/tesla-v100-dgxs-16-gb.c3763,community,high,,1
NVIDIA,NVIDIA,foreign,GV100,Tesla V100 DGXS 32 GB,GPU,both,datacenter,Volta,GV100,Tesla Volta(Vxx),12,TSMC,815,21.1,,32,HBM2,4096,897,876,5120,640,0,80,5120,128,6,FP64/FP32/FP16/BF16/INT8,FP64:7.8TFLOPS;FP32:15.7TFLOPS;FP16/BF16:31.3TFLOPS,1297,1530,250,600,None,,,Dual-slot,PCIe 3.0 x16,2018-03-27,已量产,1,AI训练/推理 / HPC,"NVIDIA Tesla V100 DGXS 32 GB — Volta architecture, Tesla Volta(Vxx) generation, 32.0GB HBM2",https://www.techpowerup.com/gpu-specs/tesla-v100-dgxs-32-gb.c3186,community,high,,1
NVIDIA,NVIDIA,foreign,GV100,Tesla V100 FHHL,GPU,both,datacenter,Volta,GV100,Tesla Volta(Vxx),12,TSMC,815,21.1,,16,HBM2,4096,827.4,808,5120,640,0,80,5120,128,6,FP64/FP32/FP16/BF16/INT8,FP64:6.6TFLOPS;FP32:13.2TFLOPS;FP16/BF16:26.4TFLOPS,937,1290,250,600,1x 8-pin,,,Single-slot,PCIe 3.0 x16,2018-03-27,已量产,1,AI训练/推理 / HPC,"NVIDIA Tesla V100 FHHL — Volta architecture, Tesla Volta(Vxx) generation, 16.0GB HBM2",https://www.techpowerup.com/gpu-specs/tesla-v100-fhhl.c3248,community,high,,1
NVIDIA,NVIDIA,foreign,GV100,Tesla V100 PCIe 32 GB,GPU,both,datacenter,Volta,GV100,Tesla Volta(Vxx),12,TSMC,815,21.1,,32,HBM2,4096,897,876,5120,640,0,80,5120,128,6,FP64/FP32/FP16/BF16/INT8,FP64:7.1TFLOPS;FP32:14.1TFLOPS;FP16/BF16:28.3TFLOPS,1230,1380,250,600,2x 8-pin,,,Dual-slot,PCIe 3.0 x16,2018-03-27,已量产,1,AI训练/推理 / HPC,"NVIDIA Tesla V100 PCIe 32 GB — Volta architecture, Tesla Volta(Vxx) generation, 32.0GB HBM2",https://www.techpowerup.com/gpu-specs/tesla-v100-pcie-32-gb.c3184,community,high,,1
NVIDIA,NVIDIA,foreign,GV100,Tesla V100 SXM2 32 GB,GPU,both,datacenter,Volta,GV100,Tesla Volta(Vxx),12,TSMC,815,21.1,,32,HBM2,4096,898,877,5120,640,0,80,5120,128,6,FP64/FP32/FP16/BF16/INT8,FP64:7.8TFLOPS;FP32:15.7TFLOPS;FP16/BF16:31.3TFLOPS,1290,1530,250,600,None,,,SXM Module,PCIe 3.0 x16,2018-03-27,已量产,1,AI训练/推理 / HPC,"NVIDIA Tesla V100 SXM2 32 GB — Volta architecture, Tesla Volta(Vxx) generation, 32.0GB HBM2",https://www.techpowerup.com/gpu-specs/tesla-v100-sxm2-32-gb.c3185,community,high,,1
NVIDIA,NVIDIA,foreign,GV100,Tesla V100 SXM3 32 GB,GPU,both,datacenter,Volta,GV100,Tesla Volta(Vxx),12,TSMC,815,21.1,,32,HBM2,4096,981,958,5120,640,0,80,5120,128,6,FP64/FP32/FP16/BF16/INT8,FP64:8.2TFLOPS;FP32:16.4TFLOPS;FP16/BF16:32.7TFLOPS,1380,1597,250,600,None,,,SXM Module,PCIe 3.0 x16,2018-03-27,已量产,1,AI训练/推理 / HPC,"NVIDIA Tesla V100 SXM3 32 GB — Volta architecture, Tesla Volta(Vxx) generation, 32.0GB HBM2",https://www.techpowerup.com/gpu-specs/tesla-v100-sxm3-32-gb.c3472,community,high,,1
NVIDIA,NVIDIA,foreign,TU102,TITAN RTX,GPU,both,datacenter,Turing,TU102,GeForce 20,12,TSMC,754,18.6,,24,GDDR6,384,672,1750,4608,576,72,72,4608,64,6,FP64/FP32/FP16/BF16/INT8,FP64:0.5TFLOPS;FP32:16.3TFLOPS;FP16/BF16:32.6TFLOPS,1350,1770,280,600,2x 8-pin,267,35,Dual-slot,PCIe 3.0 x16,2018-12-18,已量产,1,AI训练/推理 / HPC,"NVIDIA TITAN RTX — Turing architecture, GeForce 20 generation, 24.0GB GDDR6",https://www.techpowerup.com/gpu-specs/titan-rtx.c3311,community,high,,1
NVIDIA,NVIDIA,foreign,GV100,TITAN V CEO Edition,GPU,both,datacenter,Volta,GV100,GeForce 10,12,TSMC,815,21.1,,32,HBM2,4096,868.4,848,5120,640,0,80,5120,128,6,FP64/FP32/FP16/BF16/INT8,FP64:7.5TFLOPS;FP32:14.9TFLOPS;FP16/BF16:29.8TFLOPS,1200,1455,250,600,1x 6-pin + 1x 8-pin,267,40,Dual-slot,PCIe 3.0 x16,2018-06-21,已量产,1,AI训练/推理 / HPC,"NVIDIA TITAN V CEO Edition — Volta architecture, GeForce 10 generation, 32.0GB HBM2",https://www.techpowerup.com/gpu-specs/titan-v-ceo-edition.c3277,community,high,,1
AMD,AMD,foreign,Lexa,Radeon 550X 640SP,GPU,both,workstation,GCN 4.0,Lexa,Polaris(RX 500X),14,GlobalFoundries,103,2.2,FCBGA-769,4,GDDR5,64,48,1500,640,0,0,0,640,16,0.25,FP64/FP32/FP16/BF16/INT8,FP64:0.1TFLOPS;FP32:1.4TFLOPS;FP16/BF16:1.4TFLOPS,1019,1071,50,250,None,,,IGP,PCIe 3.0 x8,2018-04-11,已量产,1,AI训练/推理 / HPC,"AMD Radeon 550X 640SP — GCN 4.0 architecture, Polaris(RX 500X) generation, 4.0GB GDDR5",https://www.techpowerup.com/gpu-specs/radeon-550x-640sp.c3206,community,high,,1
